daily_test,daily_case,daily_death,daily_recover,total_test,total_case,total_death,total_recover,bed_occupancy_rate
53842.0,1178.0,19.0,1015.0,5027308.0,236112,5784.0,219506.0,
46249.0,1083.0,18.0,994.0,4973466.0,234934,5765.0,218491.0,
41301.0,995.0,19.0,1003.0,4927217.0,233851,5747.0,217497.0,
40247.0,987.0,18.0,978.0,4885916.0,232856,5728.0,216494.0,
44846.0,996.0,19.0,981.0,4845669.0,231869,5710.0,215516.0,
46492.0,982.0,17.0,996.0,4800823.0,230873,5691.0,214535.0,
43236.0,967.0,15.0,982.0,4754331.0,229891,5674.0,213539.0,
45712.0,942.0,14.0,996.0,4711095.0,228924,5659.0,212557.0,
47412.0,963.0,15.0,1092.0,4665383.0,227982,5645.0,211561.0,
45283.0,919.0,17.0,982.0,4617971.0,227019,5630.0,210469.0,
40016.0,927.0,17.0,1010.0,4572688.0,226100,5613.0,209487.0,
43312.0,921.0,16.0,1103.0,4532672.0,225173,5596.0,208477.0,
42986.0,937.0,17.0,1009.0,4489360.0,224252,5580.0,207374.0,
43343.0,913.0,18.0,1151.0,4446374.0,223315,5563.0,206365.0,
43404.0,902.0,19.0,1203.0,4403031.0,222402,5545.0,205214.0,
42846.0,928.0,18.0,1009.0,4359627.0,221500,5526.0,204011.0,
43404.0,931.0,17.0,992.0,4316781.0,220572,5508.0,203002.0,
41310.0,924.0,16.0,997.0,4273377.0,219641,5491.0,202010.0,
40943.0,918.0,17.0,1179.0,4232067.0,218717,5475.0,201013.0,
41215.0,926.0,18.0,1014.0,4191124.0,217799,5458.0,199834.0,
42411.0,933.0,21.0,1087.0,4149909.0,216873,5440.0,198820.0,
42320.0,947.0,17.0,1013.0,4107498.0,215940,5419.0,197733.0,
43231.0,992.0,20.0,1049.0,4065178.0,214993,5402.0,196720.0,
46492.0,1008.0,19.0,1156.0,4021947.0,214001,5382.0,195671.0,
45232.0,1012.0,19.0,1298.0,3975455.0,212993,5363.0,194515.0,
48813.0,1016.0,21.0,1334.0,3930223.0,211981,5344.0,193217.0,
48787.0,1003.0,23.0,1493.0,3881410.0,210965,5323.0,191883.0,
50103.0,1024.0,18.0,2879.0,3832623.0,209962,5300.0,190390.0,
49302.0,1041.0,22.0,2219.0,3782520.0,208938,5282.0,187511.0,
50545.0,1053.0,19.0,2297.0,3733218.0,207897,5260.0,185292.0,
52193.0,1086.0,16.0,2315.0,3682673.0,206844,5241.0,182995.0,
46414.0,1148.0,19.0,1188.0,3630480.0,205758,5225.0,180680.0,
48248.0,1154.0,20.0,1214.0,3584066.0,204610,5206.0,179492.0,
52141.0,1172.0,19.0,1313.0,3535818.0,203456,5186.0,178278.0,
49714.0,1186.0,17.0,1543.0,3483677.0,202284,5167.0,176965.0,
52313.0,1192.0,19.0,2311.0,3433963.0,201098,5150.0,175422.0,
50492.0,1293.0,16.0,1302.0,3381650.0,199906,5131.0,173111.0,
51014.0,1374.0,18.0,1214.0,3331158.0,198613,5115.0,171809.0,
48309.0,1356.0,15.0,1413.0,3280144.0,197239,5097.0,170595.0,
45213.0,1372.0,17.0,1984.0,3231835.0,195883,5082.0,169182.0,
51198.0,1396.0,19.0,1492.0,3186622.0,194511,5065.0,167198.0,
52303.0,1458.0,21.0,1472.0,3135424.0,193115,5046.0,165706.0,
53486.0,1492.0,24.0,1386.0,3083121.0,191657,5025.0,164234.0,
42982.0,1268.0,27.0,1315.0,3029635.0,190165,5001.0,162848.0,
41413.0,1212.0,24.0,1293.0,2986653.0,188897,4974.0,161533.0,
40496.0,1192.0,23.0,1412.0,2945240.0,187685,4950.0,160240.0,
41112.0,1248.0,22.0,1312.0,2904744.0,186493,4927.0,158828.0,
41316.0,1214.0,23.0,1494.0,2863632.0,185245,4905.0,157516.0,
48412.0,1304.0,21.0,1382.0,2822316.0,184031,4882.0,156022.0,
52901.0,1429.0,19.0,1261.0,2773904.0,182727,4861.0,154640.0,
46800.0,1467.0,17.0,1015.0,2721003.0,181298,4842.0,153379.0,
42032.0,1592.0,18.0,947.0,2674203.0,179831,4825.0,152364.0,
45176.0,1562.0,15.0,1330.0,2632171.0,178239,4807.0,151417.0,
45092.0,1459.0,14.0,985.0,2586995.0,176677,4792.0,150087.0,
41013.0,1195.0,15.0,1242.0,2541903.0,175218,4778.0,149102.0,
49190.0,987.0,17.0,1021.0,2500890.0,174023,4763.0,147860.0,
36521.0,922.0,17.0,2241.0,2451700.0,173036,4746.0,146839.0,
37225.0,993.0,18.0,3218.0,2415179.0,172114,4729.0,144598.0,
39361.0,989.0,19.0,3411.0,2377954.0,171121,4711.0,141380.0,
35335.0,914.0,23.0,2647.0,2338593.0,170132,4692.0,137969.0,
35846.0,878.0,21.0,1922.0,2303258.0,169218,4669.0,135322.0,
57829.0,930.0,18.0,1622.0,2267412.0,168340,4648.0,133400.0,
